"","handle","mm_rating","mm_events","mm_reg","algo_rating","algo_events","algo_reg","country","payments","days_as_member","gender","school","treatment","room_size","room_id","mm_rating_imputed","age","educ","prlang","risk","submission","score.prov.max","score.sys.max"
"1","_Kevin",0.284714548802947,1,3,0,0,0,"United States",0,40.1120601851852,"Male","No school","tournament","Large","2F",FALSE,"31-40 years","Undergraduate/Bachelor's degree","Other","7",0,0,0
"2","_Romka_",0.548802946593002,6,10,2538,101,115,"Belarus",4616,2473.64362268519,"Male","Some school","race","Small","1B",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","Python","5",4,0.80260362,0.8040385
"3","1101",0.110128913443831,0,5,1087,175,187,"Ireland",0,4171.47815972222,"Male","No school","target","Large","3H",TRUE,"31-40 years","Doctorate/PhD","Java","6",0,0,0
"4","112atn323",0.622467771639042,4,6,0,0,0,"Japan",0,92.7725347222222,"Male","No school","target","Small","3C",FALSE,"26-30 years","Doctorate/PhD","Java","9",21,0.80822711,0.8071429
"5","1957",0.61731123388582,0,2,949,7,9,"China",300,1599.9162962963,"Male","Some school","target","Large","3E",TRUE,NA,NA,NA,NA,0,0,0
"6","a9108tc",0.548802946593002,13,30,2774,40,44,"China",55192.88,2387.70224537037,"Male","Some school","tournament","Small","2A",FALSE,NA,NA,NA,"4",2,0.80850902,0.7983725
"7","aakinola",0.209208103130755,0,12,0,0,0,"South Africa",0,728.599988425926,"Male","No school","race","Small","1A",TRUE,"31-40 years","Undergraduate/Bachelor's degree","Java","8",0,0,0
"8","abundrew",0.430570902394107,17,31,1019,16,18,"United States",3000,1789.20969907407,"Male","No school","target","Small","3C",FALSE,"51 years and above","Postgraduate/Master of arts","C#","4",0,0,0
"9","adk90",0.219152854511971,0,3,0,0,1,"India",0,124.067025462963,"Male","No school","tournament","Small","2D",TRUE,"26-30 years","Postgraduate/Master of arts","Java",NA,0,0,0
"10","ahoenig",0.367955801104972,3,14,1426,41,42,"United States",724.85,4557.65861111111,"Male","No school","tournament","Small","2D",FALSE,"41-50 years","Undergraduate/Bachelor's degree","C#","6",0,0,0
"11","ainu7",0.905709023941068,29,57,2880,282,306,"South Korea",87266.5,3113.94721064815,"Male","No school","tournament","Small","2B",FALSE,"31-40 years","Undergraduate/Bachelor's degree","C++","6",20,0.81201321,0.7990741
"12","air13",0.184162062615101,9,14,1301,4,11,"China",0,1000.01666666667,"Male","Some school","target","Large","3E",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","7",0,0,0
"13","al_gol",0.316022099447514,5,9,953,28,30,"Belarus",3000,1387.40127314815,"Male","Some school","tournament","Small","2C",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C#","7",21,0.79408493,0.7802401
"14","alazyrabbit",0.19926335174954,4,12,1344,23,30,"China",40,1854.9778125,"Male","Some school","race","Small","1D",FALSE,"26-30 years","Undergraduate/Bachelor's degree","Python","8",0,0,0
"15","alecn2002",0.205156537753223,39,79,1005,66,72,"Russia",5612,3245.61605324074,"Male","No school","tournament","Large","2F",FALSE,"41-50 years","Postgraduate/Master of arts","C++","3",0,0,0
"16","alex90",0.404051565377532,2,7,1552,33,41,"Spain",1000,1576.71314814815,"Male","Some school","target","Large","3F",FALSE,"20-25 years old","Postgraduate/Master of arts","C++","6",0,0,0
"17","alexpeptan",0.429097605893186,0,3,972,22,25,"Romania",0,420.888912037037,"Male","No school","target","Large","3G",TRUE,"26-30 years","Postgraduate/Master of arts","Java","8",0,0,0
"18","alinionut.popa",0.465930018416206,0,3,773,6,9,"Romania",0,278.822395833333,"Male","No school","race","Large","1F",TRUE,"26-30 years","Postgraduate/Master of arts","Java","7",0,0,0
"19","all_random",0.476243093922652,1,3,0,0,1,"Viet Nam",0,75.6527199074074,"Male","No school","race","Large","1E",FALSE,"26-30 years","Doctorate/PhD","C++","1-unwilling",118,0.8160386,0.8192668
"20","an_ant",0.162062615101289,2,33,1205,20,20,"Croatia",2305,2056.26688657407,"Male","Some school","race","Large","1E",FALSE,"26-30 years","Postgraduate/Master of arts","C++","7",0,0,0
"21","AnandVeeramani",0.45377532228361,4,40,1044,23,26,"India",700,1155.98396990741,"Male","No school","race","Small","1C",FALSE,"26-30 years","Undergraduate/Bachelor's degree","Other","6",0,0,0
"22","ananthhh",0.191896869244936,1,6,0,0,1,"India",98158.47,395.426041666667,"Male","No school","target","Small","3C",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","Java","7",0,0,0
"23","andresduque",0.505709023941068,24,52,562,9,10,"Colombia",102197.89,2101.31819444444,"Male","No school","target","Large","3E",FALSE,"26-30 years","Undergraduate/Bachelor's degree","Java","7",0,0,0
"24","AndyFang",0.593738489871087,2,11,2148,26,32,"China",4888,2756.94005787037,"Male","Some school","target","Large","3H",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","5",0,0,0
"25","antoshkaplus",0.361694290976059,8,17,962,13,14,"United States",300,1469.51472222222,"Male","Some school","tournament","Small","2D",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","10-completely willing",0,0,0
"26","antslag",0.304972375690608,3,10,989,29,34,"Russia",300,881.838900462963,"Male","No school","target","Small","3C",FALSE,"26-30 years","Postgraduate/Master of arts","C++","5",0,0,0
"27","aropan",0.384898710865562,5,15,2180,119,135,"Belarus",1000,2647.51954861111,"Male","Some school","target","Large","3G",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","5",0,0,0
"28","ascii892",0.463351749539595,4,6,762,1,1,"United Kingdom",0,1636.35096064815,"Male","Some school","race","Small","1B",FALSE,"26-30 years","Postgraduate/Master of arts","C++","3",0,0,0
"29","ashersyed",0.157274401473296,8,54,440,5,5,"Mexico",450,3253.94677083333,"Male","No school","tournament","Large","2H",FALSE,"31-40 years","Undergraduate/Bachelor's degree","C#","8",1,0.79408493,0.7802401
"30","aswmtjdsj",0.16390423572744,1,7,1249,32,36,"China",2630,1794.58180555556,"Male","Some school","target","Large","3E",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","9",2,0.80845041,0.7948124
"31","atmosphere",0.397421731123389,1,3,0,0,0,"Canada",0,3276.7341087963,"Male","Some school","race","Large","1E",FALSE,"26-30 years","Postgraduate/Master of arts","Java","8",13,0.81221324,0.7992297
"32","Avitella",0.0390423572744015,0,2,1339,4,4,"Russia",0,1048.40943287037,"Male","Some school","race","Small","1B",TRUE,NA,NA,NA,NA,0,0,0
"33","azneye",0.197053406998158,19,37,2102,115,128,"Canada",200,1248.15972222222,"Male","Some school","tournament","Large","2F",FALSE,"<20 years old","High School","C++","5",1,0.79408493,0.7802401
"34","azukun",0.452670349907919,7,16,1858,46,57,"Russia",187960.04,2297.09652777778,"Male","Some school","target","Large","3E",FALSE,"26-30 years","Postgraduate/Master of arts","C#","9",0,0,0
"35","Bankevich",0.198158379373849,7,11,1962,160,182,"Russia",4423,3265.45793981481,"Male","No school","race","Small","1D",FALSE,"26-30 years","Postgraduate/Master of arts","Java","4",0,0,0
"36","Bargash",0.285082872928177,1,5,738,17,18,"Belarus",0,2974.61561342593,"Male","No school","race","Large","1E",FALSE,"31-40 years","Undergraduate/Bachelor's degree","C#","7",0,0,0
"37","baseballnut",0.248987108655617,64,91,998,10,11,"United States",50,3336.57614583333,"Male","No school","tournament","Large","2H",FALSE,"41-50 years","Postgraduate/Master of arts","Java","5",0,0,0
"38","bdepwgjqet",0.207734806629834,0,2,1347,29,30,"China",0,1329.58341435185,"Male","Some school","race","Large","1G",TRUE,"20-25 years old","Undergraduate/Bachelor's degree","C++","8",0,0,0
"39","blu3fox",0.27219152854512,0,11,0,0,0,"Venezuela",0,1830.02366898148,"Male","Some school","tournament","Small","2A",TRUE,"26-30 years","Undergraduate/Bachelor's degree","Java","6",0,0,0
"40","bluenet",0.23720073664825,11,21,1054,10,13,"Japan",0,488.665694444444,"Male","Some school","race","Small","1A",FALSE,"26-30 years","Postgraduate/Master of arts","Python","7",0,0,0
"41","bohuss",0.370902394106814,36,65,1165,283,315,"Slovakia",172160.72,3368.70846064815,"Male","No school","race","Large","1G",FALSE,"31-40 years","Postgraduate/Master of arts","Java","8",1,0.79408493,0.7802401
"42","brajeshlkw",0.367955801104972,91,162,401,27,34,"India",3268.75,3503.52989583333,"Male","No school","target","Large","3H",FALSE,"41-50 years","Postgraduate/Master of arts","VB","2",25,0.70380591,0.08322763252
"43","Breusov",0.530018416206262,29,42,1218,46,47,"Ukraine",8393.64,3741.37704861111,"Male","Some school","tournament","Small","2D",FALSE,"26-30 years","Postgraduate/Master of arts","Java","5",54,0.81707828,0.8139322
"44","brev",0.592265193370166,37,70,944,24,25,"Ukraine",20800,3320.25717592593,"Male","No school","race","Large","1H",FALSE,"51 years and above","Postgraduate/Master of arts","C++","7",35,0.81532507,0.810536
"45","buraksrc",0.226151012891344,2,4,0,0,0,"Turkey",0,1622.22876157407,"Male","No school","race","Large","1E",FALSE,"31-40 years","High School","Java","7",0,0,0
"46","Cannon",0.194475138121547,9,32,1064,2,6,"Australia",0,1510.92150462963,"Male","No school","tournament","Small","2D",FALSE,"31-40 years","Postgraduate/Master of arts","C#","10-completely willing",0,0,0
"47","cant_dance",0.551381215469613,17,50,1748,5,5,"Poland",300,3095.53082175926,"Male","No school","tournament","Large","2E",FALSE,"31-40 years","Doctorate/PhD","C++","3",0,0,0
"48","caustique",0.18121546961326,3,11,1797,116,139,"Russia",0,2264.47320601852,"Male","Some school","race","Large","1G",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","8",0,0,0
"49","chandan047",0.29097605893186,3,20,617,3,5,"India",0,729.330833333333,"Male","Some school","race","Large","1H",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","3",1,0.79408493,0.7802401
"50","cheaps",0.318600368324125,3,5,1105,2,3,"United States",0,73.2492013888889,"Male","No school","tournament","Small","2C",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","4",0,0,0
"51","chengweichi",0.557642725598527,0,2,374,5,8,"Taiwan",0,1004.5971412037,"Male","Some school","tournament","Small","2B",TRUE,"31-40 years","Undergraduate/Bachelor's degree","C++","1-unwilling",19,0.81180461,0.8119459
"52","chicapi",0.27219152854512,0,11,1021,33,39,"Argentina",3550,4156.52388888889,"Female","No school","target","Small","3D",TRUE,"31-40 years","Doctorate/PhD","C++","10-completely willing",0,0,0
"53","Chikov2",0.130386740331492,6,51,760,85,98,"United States",14300,4786.81121527778,"Male","No school","tournament","Small","2C",FALSE,"31-40 years","Undergraduate/Bachelor's degree","C#","8",0,0,0
"54","Chmel_Tolstiy",0.266298342541436,8,19,2281,177,200,"Belarus",20861.5,3275.87012731481,"Male","Some school","target","Large","3F",FALSE,"26-30 years","Postgraduate/Master of arts","C++","4",0,0,0
"55","codercat",0.403314917127072,1,11,716,29,33,"India",44523.76,2155.89145833333,"Male","No school","race","Small","1B",FALSE,"41-50 years","Postgraduate/Master of arts","C++","5",0,0,0
"56","codeshubh",0.312707182320442,0,2,736,4,8,"India",0,814.396122685185,"Male","Some school","race","Large","1H",TRUE,"20-25 years old","High School","C++","7",0,0,0
"57","ctrucza",0.275874769797422,29,61,1204,33,36,"Romania",450,3472.8525,"Male","No school","target","Large","3F",FALSE,"41-50 years","High School","C++","3",0,0,0
"58","cup_of_tea",0.129650092081031,10,20,1624,98,111,"France",0,1790.57633101852,"Male","Some school","target","Small","3A",FALSE,"20-25 years old","Postgraduate/Master of arts","C++","6",0,0,0
"59","cxz2004",0.416942909760589,0,2,2459,3,3,"China",0,355.333726851852,"Female","Some school","race","Small","1B",TRUE,NA,NA,NA,"6",27,0.81388921,0.8037123
"60","cyril.v",0.577532228360958,13,23,0,0,0,"France",2000,798.763020833333,"Male","No school","race","Small","1C",FALSE,"26-30 years","Undergraduate/Bachelor's degree","C++","3",7,0.82142323,0.8112598
"61","d_jash",0.222099447513812,15,82,547,46,73,"India",11337.5,3683.76641203704,"Male","No school","race","Large","1F",FALSE,"41-50 years","Postgraduate/Master of arts","Java","10-completely willing",0,0,0
"62","daga_sumit",0.141804788213628,0,4,0,0,0,"India",17692.72,386.373738425926,"Male","No school","target","Small","3B",TRUE,"26-30 years","Undergraduate/Bachelor's degree","Java","7",0,0,0
"63","danbanica",0.404788213627993,3,41,2090,62,83,"Romania",200,3312.41751157407,"Male","Some school","target","Small","3A",FALSE,"26-30 years","Postgraduate/Master of arts","Java","5",0,0,0
"64","daviduarte",0.312338858195212,4,11,1456,58,64,"Brazil",0,1982.72028935185,"Male","Some school","tournament","Small","2A",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","8",0,0,0
"65","defatigue",0.452302025782689,0,2,398,4,8,"Nigeria",0,236.24462962963,"Male","No school","tournament","Large","2G",TRUE,"26-30 years","Undergraduate/Bachelor's degree","Java","10-completely willing",0,0,0
"66","defh",0.216942909760589,8,38,395,95,112,"Dominican Republic",538,3003.16693287037,"Male","No school","race","Large","1H",FALSE,"31-40 years","Undergraduate/Bachelor's degree","Java","9",0,0,0
"67","delabourdonnais",0.398895027624309,0,3,837,12,13,"Morocco",0,825.313148148148,"Male","Some school","target","Large","3G",TRUE,"20-25 years old","Undergraduate/Bachelor's degree","Other","7",0,0,0
"68","dexy",0.29171270718232,1,29,1866,141,178,"Serbia",44833.77,4165.2446875,"Male","Some school","tournament","Large","2F",FALSE,"31-40 years","Postgraduate/Master of arts","C++","8",0,0,0
"69","dhbellol",0.223204419889503,2,21,763,22,23,"Colombia",305200.66,4199.03609953704,"Male","No school","tournament","Large","2F",FALSE,"31-40 years","Undergraduate/Bachelor's degree","Java","5",0,0,0
"70","didi_baga",0.266298342541436,13,64,618,7,7,"Georgia",0,1458.5440625,"Male","No school","race","Large","1H",FALSE,"26-30 years","Postgraduate/Master of arts","C++","5",0,0,0
"71","dilip.thapa",0.27329650092081,0,8,0,0,0,"Nepal",0,768.433854166667,"Male","No school","race","Large","1H",TRUE,"26-30 years","Postgraduate/Master of arts","C#","4",0,0,0
"72","dimkadimon",0.534438305709024,13,41,1203,178,187,"Australia",7066.5,4738.13150462963,"Male","Some school","tournament","Large","2E",FALSE,NA,NA,NA,"6",30,0.81658156,0.8214286
"73","dimonica",0.413627992633518,0,2,1162,4,5,"Belarus",0,472.498217592593,"Male","Some school","race","Small","1A",TRUE,"<20 years old","Undergraduate/Bachelor's degree","Java","8",0,0,0
"74","DrWhatsisname",0.461141804788214,0,3,958,1,1,"United States",0,748.277083333333,"Male","Some school","tournament","Large","2G",TRUE,"<20 years old","High School","Java","8",0,0,0
"75","DuXSerbia",0.330386740331492,2,9,1705,98,113,"Serbia",10950,2292.4597337963,"Male","Some school","race","Small","1A",FALSE,"20-25 years old","High School","C++","7",0,0,0
"76","ecv",0.593738489871087,40,66,1621,56,64,"Spain",2850,3128.83663194444,"Male","No school","race","Large","1F",FALSE,"51 years and above","Postgraduate/Master of arts","C++","7",0,0,0
"77","EgorLakomkin",0.340331491712707,0,9,0,0,0,"Russia",0,1594.74009259259,"Male","Some school","target","Large","3F",TRUE,"26-30 years","Postgraduate/Master of arts","Python","7",11,0.83091699,0.8267394
"78","elder1g",0.734069981583794,11,32,0,0,1,"Singapore",170100,1265.80306712963,"Male","No school","target","Small","3A",FALSE,"26-30 years","Undergraduate/Bachelor's degree","C++","7",0,0,0
"79","eldidou",0.85377532228361,10,16,0,0,0,"France",500,1274.28033564815,"Male","No school","tournament","Large","2E",FALSE,"31-40 years","Postgraduate/Master of arts","C++","4",0,0,0
"80","eofsentinel",0.388213627992634,0,2,983,1,4,"India",0,36.9635300925926,"Male","Some school","tournament","Small","2D",TRUE,"20-25 years old","High School","Python","5",0,0,0
"81","Euniceadu",0.274769797421731,0,6,533,36,39,"Ghana",300,1380.30886574074,"Female","Some school","tournament","Small","2A",TRUE,"20-25 years old","Undergraduate/Bachelor's degree","Python","4",0,0,0
"82","EvbCFfp1XB",0.562430939226519,21,25,1278,39,52,"Japan",0,906.655891203704,"Male","No school","target","Small","3B",FALSE,"31-40 years","Postgraduate/Master of arts","Java","10-completely willing",42,0.8145877,0.8191882
"83","F.L.K",0.312707182320442,2,6,1168,19,25,"China",0,1225.51392361111,"Male","Some school","target","Large","3E",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","10-completely willing",0,0,0
"84","f1zz0_13",0.0184162062615101,0,2,1080,36,41,"India",0,785.318981481482,"Male","Some school","target","Small","3B",TRUE,"20-25 years old","Undergraduate/Bachelor's degree","C++","10-completely willing",0,0,0
"85","falanga",0.41731123388582,0,3,1524,23,25,"Croatia",0,1129.45033564815,"Male","Some school","target","Large","3G",TRUE,"<20 years old","High School","C++","4",0,0,0
"86","fazam",0.1097605893186,0,2,649,29,35,"India",0,891.310509259259,"Male","Some school","tournament","Large","2G",TRUE,"20-25 years old","High School","C++","6",0,0,0
"87","FCoskun",0.233517495395948,0,4,994,1,1,"Turkey",800,2395.71240740741,"Male","Some school","tournament","Large","2G",TRUE,"26-30 years","High School","Java","10-completely willing",2,0.8096271,0.8059013
"88","Fdg",0.178637200736648,1,12,2409,219,244,"Ukraine",900,2558.46290509259,"Male","Some school","race","Large","1H",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","7",0,0,0
"89","feather",0.249355432780847,3,14,2100,65,79,"Russia",0,2434.48677083333,"Male","Some school","race","Large","1H",FALSE,"26-30 years","Postgraduate/Master of arts","Java","5",0,0,0
"90","Fed",0.534806629834254,8,12,1498,32,34,"Russia",0,3113.71923611111,"Male","Some school","target","Large","3G",FALSE,"20-25 years old","Postgraduate/Master of arts","C++","4",15,0.8199357,0.8096085
"91","fine_plain",0.394106813996317,0,2,1303,5,6,"Ukraine",0,147.558877314815,"Male","Some school","target","Large","3G",TRUE,"20-25 years old","Undergraduate/Bachelor's degree","C++","6",0,0,0
"92","fizzicks",0.209576427255985,6,41,1138,64,72,"United States",877,3250.39430555556,"Male","Some school","target","Large","3G",FALSE,"20-25 years old","Postgraduate/Master of arts","Python","5",0,0,0
"93","fugusuki",0.482872928176796,5,11,1289,88,95,"Japan",0,1966.63658564815,"Male","Some school","tournament","Small","2B",FALSE,"26-30 years","Postgraduate/Master of arts","C#","7",48,0.83551209,0.8333333
"94","fujiyama",0.476979742173112,5,30,1184,109,116,"Japan",1400,2045.00862268519,"Male","No school","tournament","Small","2B",FALSE,NA,NA,NA,"7",5,0,-Inf
"95","gkeesh7",0.103867403314917,0,4,952,22,26,"India",0,597.4540625,"Male","Some school","tournament","Large","2E",TRUE,NA,NA,NA,NA,0,0,0
"96","goldfinch",0.556537753222836,24,58,1528,129,142,"Russia",134,2950.28303240741,"Male","Some school","tournament","Small","2C",FALSE,"26-30 years","Postgraduate/Master of arts","C#","7",1,0.79408493,0.7802401
"97","gondzo",0.126335174953959,7,23,977,30,48,"Bosnia & Herzegowina",136175.64,2031.50033564815,"Male","Some school","race","Large","1G",FALSE,"26-30 years","Postgraduate/Master of arts","C++","5",1,0.7993725,0.7928669
"98","GoogleHireMe",0.23572744014733,2,8,1581,104,114,"Ukraine",0,2107.13655092593,"Male","Some school","target","Large","3F",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","4",1,0.79408493,0.7802401
